xAcc,yAcc,zAcc
-0.680786,-0.173916,9.696144
-0.702358,-0.182396,9.714146
-0.686886,-0.199059,9.686623
-0.714409,-0.187157,9.690193
-0.708458,-0.175106,9.697334
-0.707119,-0.170345,9.707005
-0.704739,-0.159634,9.703285
-0.670074,-0.189537,9.708195
-0.691647,-0.195488,9.700905
-0.689266,-0.170345,9.700905
-0.691647,-0.184776,9.696144
-0.716789,-0.171535,9.708195
-0.702358,-0.173916,9.692574
-0.696407,-0.156063,9.703285
-0.685696,-0.178677,9.684242
-0.697598,-0.171535,9.697334
-0.701168,-0.191917,9.689003
-0.72155,-0.179867,9.687813
-0.709648,-0.185966,9.700905
-0.712029,-0.2062,9.697334
-0.694027,-0.167965,9.681862
-0.690456,-0.169155,9.693764
-0.712029,-0.179867,9.678143
-0.704739,-0.178677,9.698524
-0.698788,-0.163204,9.700905
-0.729881,-0.160824,9.691383
-0.712029,-0.169155,9.683052
-0.678406,-0.172726,9.687813
-0.678406,-0.201439,9.700905
-0.72155,-0.194298,9.694954
-0.702358,-0.179867,9.685432
-0.732262,-0.190727,9.689003
-0.683315,-0.176296,9.678143
-0.690456,-0.178677,9.690193
-0.667694,-0.190727,9.700905
-0.681976,-0.175106,9.690193
-0.712029,-0.166775,9.692574
-0.737171,-0.169155,9.694954
-0.705929,-0.158443,9.702095
-0.670074,-0.179867,9.675762
-0.670074,-0.199059,9.698524
-0.701168,-0.181057,9.699715
-0.732262,-0.171535,9.676952
-0.702358,-0.169155,9.691383
-0.715599,-0.165585,9.680672
-0.707119,-0.193108,9.687813
-0.671265,-0.212299,9.691383
-0.684505,-0.193108,9.679482
-0.688076,-0.165585,9.694954
-0.713219,-0.165585,9.672192
-0.689266,-0.160824,9.690193
-0.702358,-0.187157,9.689003
-0.686886,-0.185966,9.692574
-0.667694,-0.178677,9.702095
-0.703548,-0.147583,9.694954
-0.713219,-0.193108,9.679482
-0.708458,-0.172726,9.689003
-0.678406,-0.189537,9.687813
-0.704739,-0.172726,9.675762
-0.694027,-0.148773,9.676952
-0.695217,-0.134491,9.683052
-0.72155,-0.153534,9.673382
-0.710838,-0.177486,9.669811
-0.692837,-0.179867,9.700905
-0.688076,-0.178677,9.678143
-0.692837,-0.166775,9.694954
-0.667694,-0.196678,9.696144
-0.691647,-0.173916,9.696144
-0.704739,-0.184776,9.680672
-0.704739,-0.160824,9.692574
-0.699978,-0.157253,9.687813
-0.692837,-0.170345,9.678143
-0.714409,-0.181057,9.700905
-0.703548,-0.173916,9.693764
-0.704739,-0.201439,9.693764
-0.697598,-0.181057,9.672192
-0.689266,-0.176296,9.684242
-0.715599,-0.177486,9.691383
-0.696407,-0.171535,9.674572
-0.717979,-0.176296,9.686623
-0.699978,-0.193108,9.698524
-0.726311,-0.156063,9.680672
-0.707119,-0.181057,9.690193
-0.703548,-0.172726,9.681862
-0.702358,-0.177486,9.691383
-0.703548,-0.176296,9.708195
-0.735981,-0.211109,9.676952
-0.712029,-0.167965,9.675762
-0.692837,-0.162014,9.681862
-0.703548,-0.171535,9.696144
-0.707119,-0.189537,9.690193
-0.685696,-0.175106,9.694954
-0.710838,-0.156063,9.676952
-0.701168,-0.184776,9.690193
-0.697598,-0.188347,9.697334
-0.713219,-0.187157,9.674572
-0.707119,-0.193108,9.671001
-0.715599,-0.173916,9.684242
-0.691647,-0.171535,9.674572
-0.713219,-0.172726,9.714146
-0.699978,-0.176296,9.674572
-0.694027,-0.181057,9.672192
-0.716789,-0.175106,9.665051
-0.714409,-0.184776,9.684242
-0.709648,-0.173916,9.681862
-0.696407,-0.162014,9.691383
-0.681976,-0.184776,9.686623
-0.697598,-0.178677,9.692574
-0.702358,-0.158443,9.679482
-0.703548,-0.166775,9.673382
-0.708309,-0.165585,9.678143
-0.684505,-0.175106,9.693764
-0.689266,-0.188347,9.679482
-0.698788,-0.144012,9.687813
-0.707119,-0.148773,9.672192
-0.708309,-0.173916,9.679482
-0.694027,-0.194298,9.691383
-0.727501,-0.179867,9.684242
-0.695217,-0.165585,9.666241
-0.685696,-0.170345,9.680672
-0.690456,-0.179867,9.694954
-0.72036,-0.187157,9.692574
-0.710838,-0.164394,9.676952
-0.705929,-0.187157,9.666241
-0.681976,-0.178677,9.697334
-0.667694,-0.179867,9.669811
-0.680786,-0.185966,9.678143
-0.681976,-0.195488,9.676952
-0.714409,-0.187157,9.669811
-0.701168,-0.196678,9.691383
-0.716789,-0.182396,9.676952
-0.716789,-0.187157,9.686623
-0.695217,-0.169155,9.681862
-0.708309,-0.176296,9.694954
-0.699978,-0.188347,9.680672
-0.712029,-0.152344,9.685432
-0.670074,-0.163204,9.690193
-0.712029,-0.184776,9.673382
-0.708309,-0.189537,9.685432
-0.695217,-0.169155,9.675762
-0.683167,-0.170345,9.683052
-0.707119,-0.175106,9.694954
-0.686886,-0.163204,9.686623
-0.688076,-0.158443,9.679482
-0.704739,-0.165585,9.673382
-0.72155,-0.172726,9.669811
-0.692837,-0.171535,9.685432
-0.71917,-0.181057,9.702095
-0.692837,-0.171535,9.681862
-0.698788,-0.20739,9.689003
-0.699978,-0.160824,9.689003
-0.686886,-0.155914,9.686623
-0.694027,-0.181057,9.691383
-0.702358,-0.175106,9.681862
-0.709648,-0.188347,9.686623
-0.712029,-0.164394,9.687813
-0.717979,-0.172726,9.687813
-0.701168,-0.156063,9.672192
-0.714409,-0.175106,9.679333
-0.689266,-0.179867,9.705814
-0.681976,-0.181057,9.686623
-0.702358,-0.177486,9.674572
-0.712029,-0.197868,9.700905
-0.704739,-0.177486,9.653
-0.704739,-0.197868,9.674572
-0.690456,-0.185966,9.668621
-0.676025,-0.158443,9.697334
-0.708309,-0.176296,9.690193
-0.701168,-0.181057,9.678143
-0.702358,-0.159634,9.674572
-0.708309,-0.188347,9.678143
-0.698788,-0.176296,9.687813
-0.672455,-0.181057,9.683052
-0.677216,-0.175106,9.684242
-0.715599,-0.188347,9.674572
-0.71917,-0.187157,9.674572
-0.674835,-0.191917,9.684242
-0.703548,-0.170345,9.699715
-0.688076,-0.148773,9.684242
-0.695217,-0.164394,9.690193
-0.697598,-0.176296,9.685432
-0.710838,-0.171535,9.673382
-0.691647,-0.196678,9.689003
-0.714409,-0.159634,9.680672
-0.688076,-0.152344,9.683052
-0.695217,-0.165585,9.694954
-0.697598,-0.199059,9.680672
-0.686886,-0.172726,9.700905
-0.697598,-0.169155,9.673382
-0.737171,-0.203819,9.692574
-0.698788,-0.188347,9.686623
-0.72155,-0.169155,9.674572
-0.709648,-0.176296,9.676952
-0.72036,-0.193108,9.692574
-0.691647,-0.178677,9.675762
-0.716789,-0.199059,9.689003
-0.705929,-0.172726,9.684242
-0.708309,-0.200249,9.681862
-0.690456,-0.156063,9.699715
-0.712029,-0.170345,9.690193
-0.704739,-0.157253,9.679482
-0.72036,-0.173916,9.676952
-0.712029,-0.185966,9.689003
-0.707119,-0.159634,9.684242
-0.688076,-0.184776,9.678143
-0.685696,-0.201439,9.690193
-0.705929,-0.155914,9.687813
-0.707119,-0.172726,9.694954
-0.705929,-0.183586,9.679333
-0.688076,-0.20858,9.674572
-0.686886,-0.172726,9.691383
-0.708458,-0.182396,9.6591
-0.726311,-0.179867,9.697334
-0.72393,-0.159634,9.691383
-0.703548,-0.167965,9.680672
-0.717979,-0.177486,9.693764
-0.702358,-0.163204,9.683052
-0.702358,-0.187157,9.686623
-0.717979,-0.172726,9.676952
-0.683167,-0.201439,9.692574
-0.709648,-0.184776,9.680672
-0.710838,-0.194298,9.674572
-0.681976,-0.165585,9.669811
-0.683167,-0.162014,9.686623
-0.695217,-0.169155,9.673382
-0.701168,-0.195488,9.683052
-0.714409,-0.185966,9.675762
-0.708309,-0.178677,9.685432
-0.698788,-0.165585,9.676952
-0.708309,-0.194298,9.676952
-0.703548,-0.171535,9.692574
-0.710838,-0.171535,9.683052
-0.699978,-0.179867,9.703285
-0.725121,-0.189537,9.673382
-0.716789,-0.165585,9.696144
-0.705929,-0.166775,9.675762
-0.686886,-0.179867,9.683052
-0.716789,-0.197868,9.696144
-0.694027,-0.160824,9.66386
-0.714409,-0.166775,9.689003
-0.713219,-0.187157,9.679333
-0.72036,-0.171535,9.678143
-0.696407,-0.190727,9.683052
-0.692837,-0.175106,9.672192
